ride_id,user_id,driver_id,pickup_location,dropoff_location,pickup_time,dropoff_time,ride_duration,ride_distance,ride_fare,user_rating
1,101,501,Location A,Location B,2023-07-01 08:30,2023-07-01 09:00,30,10.5,150,4.5
2,102,502,Location B,Location D,2023-07-01 09:15,2023-07-01 09:45,30,11.0,155,4.0
3,103,503,Location C,Location F,2023-07-01 10:00,2023-07-01 10:30,30,9.8,145,5.0
4,104,504,Location D,Location H,2023-07-01 11:00,2023-07-01 11:45,45,15.2,220,3.5
5,105,505,Location E,Location J,2023-07-01 12:00,2023-07-01 12:25,25,8.0,120,4.8
6,106,506,Location F,Location L,2023-07-01 13:00,2023-07-01 13:50,50,20.0,300,4.2
7,107,507,Location G,Location N,2023-07-01 14:30,2023-07-01 15:00,30,12.5,175,3.8
8,108,508,Location H,Location P,2023-07-01 15:45,2023-07-01 16:20,35,14.0,200,4.6
9,109,509,Location I,Location R,2023-07-01 17:00,2023-07-01 17:35,35,13.5,195,4.3
10,110,510,Location J,Location T,2023-07-01 18:00,2023-07-01 18:40,40,17.0,250,4.1
